X;Y;id_local;reseau_loc;nom_loc;id_osm;num_iti;code_com_d;ame_d;regime_d;sens_d;largeur_d;local_d;statut_d;revet_d;code_com_g;ame_g;regime_g;sens_g;largeur_g;local_g;statut_g;revet_g;access_ame;date_maj;trafic_vit;lumiere;d_service;comm;source;project_c;ref_geo
5.74204207721464;45.18745755835;;;;way/170083999;;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2023-09-19;"30";true;;;OpenStreetMap;WGS84;
5.7418633043043;45.1866303367598;;;;way/260659013;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;MEUBLE;"38185";AUCUN;;;;;EN SERVICE;MEUBLE;VELO DE ROUTE;2021-10-26;;;;;OpenStreetMap;WGS84;
5.74167709074514;45.1869194408783;;;;way/183471313;;"38185";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;MEUBLE;"38185";AUCUN;;;;;EN SERVICE;MEUBLE;VELO DE ROUTE;2021-03-01;;true;;;OpenStreetMap;WGS84;
5.7403752;45.188752100484;;;;way/348324988;;"38185";PISTE CYCLABLE;;UNIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2021-04-16;;true;;;OpenStreetMap;WGS84;
5.74168490109416;45.1893108317643;;;;way/44141546;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2024-09-30;;true;;;OpenStreetMap;WGS84;
5.7414884;45.1892034004883;D 1090;;;way/44140434;;"38185";COULOIR BUS+VELO;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;EN AGGLOMERATION;;;CHAUSSEE;EN SERVICE;LISSE;;2023-09-11;"50";true;;;OpenStreetMap;WGS84;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009
5.74161655;45.1890912504906;;;;way/803425644;;"38185";PISTE CYCLABLE;;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2023-02-18;;true;;;OpenStreetMap;WGS84;
5.74218635523681;45.1884718449796;;;;way/804701565;;"38185";VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;RUGUEUX;"38185";AUCUN;;;;;EN SERVICE;RUGUEUX;VELO DE ROUTE;2024-09-30;;true;;;OpenStreetMap;WGS84;"cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009"
5.7410555;45.1888025504511;;;;way/803425648;;"38185";PISTE CYCLABLE;;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2023-04-24;;true;;;OpenStreetMap;WGS84;
5.7406939;45.1887891005725;;;;way/4236723;;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2024-08-12;"30";true;;;OpenStreetMap;WGS84;
